Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MultipleSheet,Chrome 77.0.3865.120,,2019-11-07 20:42:39,2019-11-07 20:43:09,29.813s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetOne,Chrome 77.0.3865.120,,2019-11-07 20:43:02,2019-11-07 20:43:04,2.428s,PASSED
println(varone),Chrome 77.0.3865.120,,2019-11-07 20:43:03,2019-11-07 20:43:03,0.005s,PASSED
println(vartwo),Chrome 77.0.3865.120,,2019-11-07 20:43:03,2019-11-07 20:43:03,0.001s,PASSED
"callTestCase(findTestCase(""DataDriven/TC - ExcelSheetTwo""), [""varthree"":a, ""varfour"":b], STOP_ON_FAILURE)",Chrome 77.0.3865.120,,2019-11-07 20:43:03,2019-11-07 20:43:04,1.312s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetOne,Chrome 77.0.3865.120,,2019-11-07 20:43:04,2019-11-07 20:43:04,0.276s,PASSED
println(varone),Chrome 77.0.3865.120,,2019-11-07 20:43:04,2019-11-07 20:43:04,0.003s,PASSED
println(vartwo),Chrome 77.0.3865.120,,2019-11-07 20:43:04,2019-11-07 20:43:04,0.004s,PASSED
"callTestCase(findTestCase(""DataDriven/TC - ExcelSheetTwo""), [""varthree"":a, ""varfour"":b], STOP_ON_FAILURE)",Chrome 77.0.3865.120,,2019-11-07 20:43:04,2019-11-07 20:43:04,0.211s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetOne,Chrome 77.0.3865.120,,2019-11-07 20:43:04,2019-11-07 20:43:05,0.435s,PASSED
println(varone),Chrome 77.0.3865.120,,2019-11-07 20:43:04,2019-11-07 20:43:04,0.014s,PASSED
println(vartwo),Chrome 77.0.3865.120,,2019-11-07 20:43:04,2019-11-07 20:43:05,0.036s,PASSED
"callTestCase(findTestCase(""DataDriven/TC - ExcelSheetTwo""), [""varthree"":a, ""varfour"":b], STOP_ON_FAILURE)",Chrome 77.0.3865.120,,2019-11-07 20:43:05,2019-11-07 20:43:05,0.319s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetOne,Chrome 77.0.3865.120,,2019-11-07 20:43:05,2019-11-07 20:43:05,0.387s,PASSED
println(varone),Chrome 77.0.3865.120,,2019-11-07 20:43:05,2019-11-07 20:43:05,0.016s,PASSED
println(vartwo),Chrome 77.0.3865.120,,2019-11-07 20:43:05,2019-11-07 20:43:05,0.007s,PASSED
"callTestCase(findTestCase(""DataDriven/TC - ExcelSheetTwo""), [""varthree"":a, ""varfour"":b], STOP_ON_FAILURE)",Chrome 77.0.3865.120,,2019-11-07 20:43:05,2019-11-07 20:43:05,0.299s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetOne,Chrome 77.0.3865.120,,2019-11-07 20:43:05,2019-11-07 20:43:06,0.278s,PASSED
println(varone),Chrome 77.0.3865.120,,2019-11-07 20:43:05,2019-11-07 20:43:05,0.002s,PASSED
println(vartwo),Chrome 77.0.3865.120,,2019-11-07 20:43:05,2019-11-07 20:43:05,0.003s,PASSED
"callTestCase(findTestCase(""DataDriven/TC - ExcelSheetTwo""), [""varthree"":a, ""varfour"":b], STOP_ON_FAILURE)",Chrome 77.0.3865.120,,2019-11-07 20:43:05,2019-11-07 20:43:06,0.182s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetOne,Chrome 77.0.3865.120,,2019-11-07 20:43:06,2019-11-07 20:43:06,0.372s,PASSED
println(varone),Chrome 77.0.3865.120,,2019-11-07 20:43:06,2019-11-07 20:43:06,0.081s,PASSED
println(vartwo),Chrome 77.0.3865.120,,2019-11-07 20:43:06,2019-11-07 20:43:06,0.005s,PASSED
"callTestCase(findTestCase(""DataDriven/TC - ExcelSheetTwo""), [""varthree"":a, ""varfour"":b], STOP_ON_FAILURE)",Chrome 77.0.3865.120,,2019-11-07 20:43:06,2019-11-07 20:43:06,0.171s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetOne,Chrome 77.0.3865.120,,2019-11-07 20:43:06,2019-11-07 20:43:07,0.468s,PASSED
println(varone),Chrome 77.0.3865.120,,2019-11-07 20:43:06,2019-11-07 20:43:06,0.003s,PASSED
println(vartwo),Chrome 77.0.3865.120,,2019-11-07 20:43:06,2019-11-07 20:43:06,0.003s,PASSED
"callTestCase(findTestCase(""DataDriven/TC - ExcelSheetTwo""), [""varthree"":a, ""varfour"":b], STOP_ON_FAILURE)",Chrome 77.0.3865.120,,2019-11-07 20:43:06,2019-11-07 20:43:07,0.246s,PASSED
