Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AlertTestSuite,Chrome 90.0.4430.212,,,2021-05-16 13:16:06,2021-05-16 13:16:53,47.030s,PASSED
,,,,,,,
Test Cases/Alert/TC-HandleAlert - Copy,Chrome 90.0.4430.212,,,2021-05-16 13:16:10,2021-05-16 13:16:36,25.779s,PASSED
"openBrowser(""https://www.w3schools.com/js/js_popup.asp"")",Chrome 90.0.4430.212,,,2021-05-16 13:16:10,2021-05-16 13:16:12,1.536s,PASSED
waitForPageLoad(TimeOut),Chrome 90.0.4430.212,,,2021-05-16 13:16:12,2021-05-16 13:16:12,0.022s,PASSED
maximizeWindow(),Chrome 90.0.4430.212,,,2021-05-16 13:16:12,2021-05-16 13:16:12,0.120s,PASSED
"click(findTestObject(""W3School/TryItBtn""))",Chrome 90.0.4430.212,,,2021-05-16 13:16:12,2021-05-16 13:16:12,0.134s,PASSED
delay(1),Chrome 90.0.4430.212,,,2021-05-16 13:16:12,2021-05-16 13:16:13,1.021s,PASSED
switchToWindowIndex(1),Chrome 90.0.4430.212,,,2021-05-16 13:16:13,2021-05-16 13:16:13,0.041s,PASSED
"switchToFrame(findTestObject(""W3School/TryItButtonFrame""), TimeOut)",Chrome 90.0.4430.212,,,2021-05-16 13:16:13,2021-05-16 13:16:13,0.145s,PASSED
"click(findTestObject(""W3School/TryButton""))",Chrome 90.0.4430.212,,,2021-05-16 13:16:13,2021-05-16 13:16:13,0.124s,PASSED
acceptAlert(),Chrome 90.0.4430.212,,,2021-05-16 13:16:13,2021-05-16 13:16:13,0.034s,PASSED
switchToDefaultContent(),Chrome 90.0.4430.212,,,2021-05-16 13:16:13,2021-05-16 13:16:13,0.027s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-16 13:16:13,2021-05-16 13:16:13,0.071s,PASSED
"openBrowser(""https://www.w3schools.com/js/js_popup.asp"")",Chrome 90.0.4430.212,,,2021-05-16 13:16:13,2021-05-16 13:16:15,1.460s,PASSED
waitForPageLoad(TimeOut),Chrome 90.0.4430.212,,,2021-05-16 13:16:15,2021-05-16 13:16:15,0.021s,PASSED
maximizeWindow(),Chrome 90.0.4430.212,,,2021-05-16 13:16:15,2021-05-16 13:16:15,0.129s,PASSED
