Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MultipleSheet,Chrome 77.0.3865.120,,2019-11-01 21:34:58,2019-11-01 21:35:19,21.786s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetOne,Chrome 77.0.3865.120,,2019-11-01 21:35:17,2019-11-01 21:35:18,0.225s,PASSED
println(varone),Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.004s,PASSED
println(vartwo),Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.002s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetOne,Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.018s,PASSED
println(varone),Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.001s,PASSED
println(vartwo),Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.000s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetOne,Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.014s,PASSED
println(varone),Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.001s,PASSED
println(vartwo),Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.000s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetOne,Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.013s,PASSED
println(varone),Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.001s,PASSED
println(vartwo),Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.001s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetOne,Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.017s,PASSED
println(varone),Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.001s,PASSED
println(vartwo),Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.002s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetTwo,Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.295s,PASSED
println(varthree),Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.002s,PASSED
println(varfour),Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.002s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetTwo,Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.016s,PASSED
println(varthree),Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.001s,PASSED
println(varfour),Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.001s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetTwo,Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.018s,PASSED
println(varthree),Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.001s,PASSED
println(varfour),Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.001s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetTwo,Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.017s,PASSED
println(varthree),Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.001s,PASSED
println(varfour),Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.001s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetTwo,Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.016s,PASSED
println(varthree),Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.001s,PASSED
println(varfour),Chrome 77.0.3865.120,,2019-11-01 21:35:18,2019-11-01 21:35:18,0.000s,PASSED
