Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OrderHiveSuite,Chrome 87.0.4280.88,,,2021-01-10 18:28:31,2021-01-10 18:29:34,1m - 3.010s,FAILED
,,,,,,,
Test Cases/Question/TC - OrderHive_Dropdown,Chrome 87.0.4280.88,,,2021-01-10 18:28:40,2021-01-10 18:29:34,54.128s,FAILED
"openBrowser("""")",Chrome 87.0.4280.88,,,2021-01-10 18:28:40,2021-01-10 18:28:44,3.920s,PASSED
maximizeWindow(),Chrome 87.0.4280.88,,,2021-01-10 18:28:44,2021-01-10 18:28:46,2.187s,PASSED
"navigateToUrl(""https://my.orderhive.com/signup"")",Chrome 87.0.4280.88,,,2021-01-10 18:28:46,2021-01-10 18:28:53,6.442s,PASSED
waitForPageLoad(60),Chrome 87.0.4280.88,,,2021-01-10 18:28:53,2021-01-10 18:28:53,0.026s,PASSED
"click(findTestObject(""Object Repository/OrderHive/country_drop_down""))",Chrome 87.0.4280.88,,,2021-01-10 18:28:53,2021-01-10 18:29:24,31.394s,FAILED
