Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OrderHiveSuite,Chrome 87.0.4280.88,,,2021-01-10 18:30:39,2021-01-10 18:31:02,23.707s,PASSED
,,,,,,,
Test Cases/Question/TC - OrderHive_Dropdown,Chrome 87.0.4280.88,,,2021-01-10 18:30:48,2021-01-10 18:31:02,14.675s,PASSED
"openBrowser("""")",Chrome 87.0.4280.88,,,2021-01-10 18:30:48,2021-01-10 18:30:52,3.796s,PASSED
maximizeWindow(),Chrome 87.0.4280.88,,,2021-01-10 18:30:52,2021-01-10 18:30:54,2.179s,PASSED
"navigateToUrl(""https://my.orderhive.com/signup"")",Chrome 87.0.4280.88,,,2021-01-10 18:30:54,2021-01-10 18:30:59,5.310s,PASSED
waitForPageLoad(60),Chrome 87.0.4280.88,,,2021-01-10 18:30:59,2021-01-10 18:30:59,0.025s,PASSED
"click(findTestObject(""Object Repository/OrderHive/country_drop_down""))",Chrome 87.0.4280.88,,,2021-01-10 18:30:59,2021-01-10 18:30:59,0.143s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/OrderHive/option_us""), 10)",Chrome 87.0.4280.88,,,2021-01-10 18:30:59,2021-01-10 18:30:59,0.124s,PASSED
"click(findTestObject(""Object Repository/OrderHive/option_us""))",Chrome 87.0.4280.88,,,2021-01-10 18:30:59,2021-01-10 18:31:00,0.183s,PASSED
delay(2),Chrome 87.0.4280.88,,,2021-01-10 18:31:00,2021-01-10 18:31:02,2.032s,PASSED
closeBrowser(),Chrome 87.0.4280.88,,,2021-01-10 18:31:02,2021-01-10 18:31:02,0.713s,PASSED
