Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser(""https://www.w3schools.com/js/js_popup.asp"")",Chrome 90.0.4430.212,,,2021-05-22 10:48:45,2021-05-22 10:48:47,2.283s,PASSED
waitForPageLoad(TimeOut),Chrome 90.0.4430.212,,,2021-05-22 10:48:47,2021-05-22 10:48:47,0.013s,PASSED
maximizeWindow(),Chrome 90.0.4430.212,,,2021-05-22 10:48:47,2021-05-22 10:48:47,0.125s,PASSED
"click(findTestObject(""W3School/TryItBtn""))",Chrome 90.0.4430.212,,,2021-05-22 10:48:47,2021-05-22 10:48:48,0.119s,PASSED
delay(1),Chrome 90.0.4430.212,,,2021-05-22 10:48:48,2021-05-22 10:48:49,1.002s,PASSED
switchToWindowIndex(1),Chrome 90.0.4430.212,,,2021-05-22 10:48:49,2021-05-22 10:48:49,0.020s,PASSED
"switchToFrame(findTestObject(""W3School/TryItButtonFrame""), TimeOut)",Chrome 90.0.4430.212,,,2021-05-22 10:48:49,2021-05-22 10:48:49,0.127s,PASSED
"click(findTestObject(""W3School/TryButton""))",Chrome 90.0.4430.212,,,2021-05-22 10:48:49,2021-05-22 10:48:49,0.121s,PASSED
acceptAlert(),Chrome 90.0.4430.212,,,2021-05-22 10:48:49,2021-05-22 10:48:49,0.026s,PASSED
switchToDefaultContent(),Chrome 90.0.4430.212,,,2021-05-22 10:48:49,2021-05-22 10:48:49,0.013s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-22 10:48:49,2021-05-22 10:48:50,0.694s,PASSED
"openBrowser(""https://www.w3schools.com/js/js_popup.asp"")",Chrome 90.0.4430.212,,,2021-05-22 10:48:50,2021-05-22 10:48:52,2.921s,PASSED
waitForPageLoad(TimeOut),Chrome 90.0.4430.212,,,2021-05-22 10:48:52,2021-05-22 10:48:52,0.015s,PASSED
maximizeWindow(),Chrome 90.0.4430.212,,,2021-05-22 10:48:52,2021-05-22 10:48:53,0.136s,PASSED
"click(findTestObject(""W3School/TryItBtn""))",Chrome 90.0.4430.212,,,2021-05-22 10:48:53,2021-05-22 10:48:53,0.126s,PASSED
delay(1),Chrome 90.0.4430.212,,,2021-05-22 10:48:53,2021-05-22 10:48:54,1.005s,PASSED
switchToWindowIndex(1),Chrome 90.0.4430.212,,,2021-05-22 10:48:54,2021-05-22 10:48:54,0.020s,PASSED
"switchToFrame(findTestObject(""W3School/TryItButtonFrame""), TimeOut)",Chrome 90.0.4430.212,,,2021-05-22 10:48:54,2021-05-22 10:48:54,0.104s,PASSED
"click(findTestObject(""W3School/TryButton""))",Chrome 90.0.4430.212,,,2021-05-22 10:48:54,2021-05-22 10:48:54,0.125s,PASSED
acceptAlert(),Chrome 90.0.4430.212,,,2021-05-22 10:48:54,2021-05-22 10:48:54,0.014s,PASSED
switchToDefaultContent(),Chrome 90.0.4430.212,,,2021-05-22 10:48:54,2021-05-22 10:48:54,0.030s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-22 10:48:54,2021-05-22 10:48:55,0.707s,PASSED
"openBrowser(""https://www.w3schools.com/js/js_popup.asp"")",Chrome 90.0.4430.212,,,2021-05-22 10:48:55,2021-05-22 10:48:58,3.110s,PASSED
waitForPageLoad(TimeOut),Chrome 90.0.4430.212,,,2021-05-22 10:48:58,2021-05-22 10:48:58,0.016s,PASSED
maximizeWindow(),Chrome 90.0.4430.212,,,2021-05-22 10:48:58,2021-05-22 10:48:58,0.136s,PASSED
"click(findTestObject(""W3School/TryItBtn""))",Chrome 90.0.4430.212,,,2021-05-22 10:48:58,2021-05-22 10:48:58,0.102s,PASSED
