Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AlertTestSuite,Chrome 90.0.4430.212,,,2021-05-22 10:30:42,2021-05-22 10:31:22,40.409s,PASSED
,,,,,,,
Test Cases/Alert/TC-HandleAlert - Multiple,Chrome 90.0.4430.212,,,2021-05-22 10:30:46,2021-05-22 10:31:15,28.943s,PASSED
"openBrowser(""https://www.w3schools.com/js/js_popup.asp"")",Chrome 90.0.4430.212,,,2021-05-22 10:30:47,2021-05-22 10:30:48,1.649s,PASSED
waitForPageLoad(TimeOut),Chrome 90.0.4430.212,,,2021-05-22 10:30:48,2021-05-22 10:30:48,0.025s,PASSED
maximizeWindow(),Chrome 90.0.4430.212,,,2021-05-22 10:30:48,2021-05-22 10:30:48,0.133s,PASSED
"click(findTestObject(""W3School/TryItBtn""))",Chrome 90.0.4430.212,,,2021-05-22 10:30:48,2021-05-22 10:30:49,0.156s,PASSED
delay(1),Chrome 90.0.4430.212,,,2021-05-22 10:30:49,2021-05-22 10:30:50,1.017s,PASSED
switchToWindowIndex(1),Chrome 90.0.4430.212,,,2021-05-22 10:30:50,2021-05-22 10:30:50,0.039s,PASSED
"switchToFrame(findTestObject(""W3School/TryItButtonFrame""), TimeOut)",Chrome 90.0.4430.212,,,2021-05-22 10:30:50,2021-05-22 10:30:50,0.095s,PASSED
"click(findTestObject(""W3School/TryButton""))",Chrome 90.0.4430.212,,,2021-05-22 10:30:50,2021-05-22 10:30:50,0.116s,PASSED
acceptAlert(),Chrome 90.0.4430.212,,,2021-05-22 10:30:50,2021-05-22 10:30:50,0.030s,PASSED
switchToDefaultContent(),Chrome 90.0.4430.212,,,2021-05-22 10:30:50,2021-05-22 10:30:50,0.071s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-22 10:30:50,2021-05-22 10:30:50,0.083s,PASSED
"openBrowser(""https://www.w3schools.com/js/js_popup.asp"")",Chrome 90.0.4430.212,,,2021-05-22 10:30:50,2021-05-22 10:30:52,1.585s,PASSED
waitForPageLoad(TimeOut),Chrome 90.0.4430.212,,,2021-05-22 10:30:52,2021-05-22 10:30:52,0.024s,PASSED
maximizeWindow(),Chrome 90.0.4430.212,,,2021-05-22 10:30:52,2021-05-22 10:30:52,0.128s,PASSED
"click(findTestObject(""W3School/TryItBtn""))",Chrome 90.0.4430.212,,,2021-05-22 10:30:52,2021-05-22 10:30:52,0.129s,PASSED
delay(1),Chrome 90.0.4430.212,,,2021-05-22 10:30:52,2021-05-22 10:30:53,1.002s,PASSED
switchToWindowIndex(1),Chrome 90.0.4430.212,,,2021-05-22 10:30:53,2021-05-22 10:30:53,0.027s,PASSED
"switchToFrame(findTestObject(""W3School/TryItButtonFrame""), TimeOut)",Chrome 90.0.4430.212,,,2021-05-22 10:30:53,2021-05-22 10:30:53,0.089s,PASSED
"click(findTestObject(""W3School/TryButton""))",Chrome 90.0.4430.212,,,2021-05-22 10:30:53,2021-05-22 10:30:53,0.157s,PASSED
acceptAlert(),Chrome 90.0.4430.212,,,2021-05-22 10:30:53,2021-05-22 10:30:53,0.028s,PASSED
switchToDefaultContent(),Chrome 90.0.4430.212,,,2021-05-22 10:30:53,2021-05-22 10:30:53,0.151s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-22 10:30:53,2021-05-22 10:30:53,0.074s,PASSED
"openBrowser(""https://www.w3schools.com/js/js_popup.asp"")",Chrome 90.0.4430.212,,,2021-05-22 10:30:53,2021-05-22 10:30:55,1.507s,PASSED
waitForPageLoad(TimeOut),Chrome 90.0.4430.212,,,2021-05-22 10:30:55,2021-05-22 10:30:55,0.022s,PASSED
maximizeWindow(),Chrome 90.0.4430.212,,,2021-05-22 10:30:55,2021-05-22 10:30:55,0.126s,PASSED
"click(findTestObject(""W3School/TryItBtn""))",Chrome 90.0.4430.212,,,2021-05-22 10:30:55,2021-05-22 10:30:55,0.117s,PASSED
delay(1),Chrome 90.0.4430.212,,,2021-05-22 10:30:55,2021-05-22 10:30:56,1.001s,PASSED
switchToWindowIndex(1),Chrome 90.0.4430.212,,,2021-05-22 10:30:56,2021-05-22 10:30:56,0.051s,PASSED
"switchToFrame(findTestObject(""W3School/TryItButtonFrame""), TimeOut)",Chrome 90.0.4430.212,,,2021-05-22 10:30:56,2021-05-22 10:30:57,0.576s,PASSED
"click(findTestObject(""W3School/TryButton""))",Chrome 90.0.4430.212,,,2021-05-22 10:30:57,2021-05-22 10:30:57,0.179s,PASSED
acceptAlert(),Chrome 90.0.4430.212,,,2021-05-22 10:30:57,2021-05-22 10:30:57,0.039s,PASSED
switchToDefaultContent(),Chrome 90.0.4430.212,,,2021-05-22 10:30:57,2021-05-22 10:30:57,0.074s,PASSED
