Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AlertTestSuite,Chrome 90.0.4430.212,,,2021-05-22 10:13:24,2021-05-22 10:14:42,1m - 18.848s,PASSED
,,,,,,,
Test Cases/Alert/TC-HandleAlert - Multiple,Chrome 90.0.4430.212,,,2021-05-22 10:13:30,2021-05-22 10:14:36,1m - 6.033s,PASSED
"openBrowser(""https://www.w3schools.com/js/js_popup.asp"")",Chrome 90.0.4430.212,,,2021-05-22 10:13:30,2021-05-22 10:13:32,1.973s,PASSED
waitForPageLoad(TimeOut),Chrome 90.0.4430.212,,,2021-05-22 10:13:32,2021-05-22 10:13:32,0.026s,PASSED
maximizeWindow(),Chrome 90.0.4430.212,,,2021-05-22 10:13:32,2021-05-22 10:13:32,0.123s,PASSED
"click(findTestObject(""W3School/TryItBtn""))",Chrome 90.0.4430.212,,,2021-05-22 10:13:32,2021-05-22 10:13:32,0.158s,PASSED
delay(1),Chrome 90.0.4430.212,,,2021-05-22 10:13:32,2021-05-22 10:13:33,1.024s,PASSED
switchToWindowIndex(1),Chrome 90.0.4430.212,,,2021-05-22 10:13:33,2021-05-22 10:13:33,0.045s,PASSED
"switchToFrame(findTestObject(""W3School/TryItButtonFrame""), TimeOut)",Chrome 90.0.4430.212,,,2021-05-22 10:13:33,2021-05-22 10:13:34,0.134s,PASSED
"click(findTestObject(""W3School/TryButton""))",Chrome 90.0.4430.212,,,2021-05-22 10:13:34,2021-05-22 10:13:34,0.229s,PASSED
acceptAlert(),Chrome 90.0.4430.212,,,2021-05-22 10:13:34,2021-05-22 10:13:34,0.047s,PASSED
switchToDefaultContent(),Chrome 90.0.4430.212,,,2021-05-22 10:13:34,2021-05-22 10:13:34,0.145s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-22 10:13:34,2021-05-22 10:13:34,0.073s,PASSED
"openBrowser(""https://www.w3schools.com/js/js_popup.asp"")",Chrome 90.0.4430.212,,,2021-05-22 10:13:34,2021-05-22 10:13:36,2.018s,PASSED
waitForPageLoad(TimeOut),Chrome 90.0.4430.212,,,2021-05-22 10:13:36,2021-05-22 10:13:36,0.025s,PASSED
maximizeWindow(),Chrome 90.0.4430.212,,,2021-05-22 10:13:36,2021-05-22 10:13:36,0.118s,PASSED
"click(findTestObject(""W3School/TryItBtn""))",Chrome 90.0.4430.212,,,2021-05-22 10:13:36,2021-05-22 10:13:36,0.126s,PASSED
delay(1),Chrome 90.0.4430.212,,,2021-05-22 10:13:36,2021-05-22 10:13:37,1.003s,PASSED
switchToWindowIndex(1),Chrome 90.0.4430.212,,,2021-05-22 10:13:37,2021-05-22 10:13:37,0.046s,PASSED
"switchToFrame(findTestObject(""W3School/TryItButtonFrame""), TimeOut)",Chrome 90.0.4430.212,,,2021-05-22 10:13:37,2021-05-22 10:13:38,0.182s,PASSED
"click(findTestObject(""W3School/TryButton""))",Chrome 90.0.4430.212,,,2021-05-22 10:13:38,2021-05-22 10:13:38,0.641s,PASSED
acceptAlert(),Chrome 90.0.4430.212,,,2021-05-22 10:13:38,2021-05-22 10:13:38,0.058s,PASSED
switchToDefaultContent(),Chrome 90.0.4430.212,,,2021-05-22 10:13:38,2021-05-22 10:13:38,0.106s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-22 10:13:38,2021-05-22 10:13:38,0.064s,PASSED
"openBrowser(""https://www.w3schools.com/js/js_popup.asp"")",Chrome 90.0.4430.212,,,2021-05-22 10:13:38,2021-05-22 10:13:41,2.631s,PASSED
waitForPageLoad(TimeOut),Chrome 90.0.4430.212,,,2021-05-22 10:13:41,2021-05-22 10:13:41,0.030s,PASSED
maximizeWindow(),Chrome 90.0.4430.212,,,2021-05-22 10:13:41,2021-05-22 10:13:41,0.163s,PASSED
"click(findTestObject(""W3School/TryItBtn""))",Chrome 90.0.4430.212,,,2021-05-22 10:13:41,2021-05-22 10:13:41,0.191s,PASSED
delay(1),Chrome 90.0.4430.212,,,2021-05-22 10:13:41,2021-05-22 10:13:42,1.001s,PASSED
switchToWindowIndex(1),Chrome 90.0.4430.212,,,2021-05-22 10:13:42,2021-05-22 10:13:42,0.030s,PASSED
"switchToFrame(findTestObject(""W3School/TryItButtonFrame""), TimeOut)",Chrome 90.0.4430.212,,,2021-05-22 10:13:42,2021-05-22 10:13:43,0.193s,PASSED
"click(findTestObject(""W3School/TryButton""))",Chrome 90.0.4430.212,,,2021-05-22 10:13:43,2021-05-22 10:13:43,0.296s,PASSED
acceptAlert(),Chrome 90.0.4430.212,,,2021-05-22 10:13:43,2021-05-22 10:13:43,0.047s,PASSED
switchToDefaultContent(),Chrome 90.0.4430.212,,,2021-05-22 10:13:43,2021-05-22 10:13:43,0.049s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-22 10:13:43,2021-05-22 10:13:43,0.066s,PASSED
"openBrowser(""https://www.w3schools.com/js/js_popup.asp"")",Chrome 90.0.4430.212,,,2021-05-22 10:13:43,2021-05-22 10:14:19,36.015s,PASSED
waitForPageLoad(TimeOut),Chrome 90.0.4430.212,,,2021-05-22 10:14:19,2021-05-22 10:14:19,0.024s,PASSED
maximizeWindow(),Chrome 90.0.4430.212,,,2021-05-22 10:14:19,2021-05-22 10:14:19,0.120s,PASSED
"click(findTestObject(""W3School/TryItBtn""))",Chrome 90.0.4430.212,,,2021-05-22 10:14:19,2021-05-22 10:14:19,0.171s,PASSED
delay(1),Chrome 90.0.4430.212,,,2021-05-22 10:14:19,2021-05-22 10:14:20,1.003s,PASSED
switchToWindowIndex(1),Chrome 90.0.4430.212,,,2021-05-22 10:14:20,2021-05-22 10:14:21,0.076s,PASSED
"switchToFrame(findTestObject(""W3School/TryItButtonFrame""), TimeOut)",Chrome 90.0.4430.212,,,2021-05-22 10:14:21,2021-05-22 10:14:21,0.512s,PASSED
"click(findTestObject(""W3School/TryButton""))",Chrome 90.0.4430.212,,,2021-05-22 10:14:21,2021-05-22 10:14:21,0.296s,PASSED
acceptAlert(),Chrome 90.0.4430.212,,,2021-05-22 10:14:21,2021-05-22 10:14:21,0.032s,PASSED
switchToDefaultContent(),Chrome 90.0.4430.212,,,2021-05-22 10:14:21,2021-05-22 10:14:21,0.052s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-22 10:14:21,2021-05-22 10:14:21,0.069s,PASSED
"openBrowser(""https://www.w3schools.com/js/js_popup.asp"")",Chrome 90.0.4430.212,,,2021-05-22 10:14:21,2021-05-22 10:14:23,1.940s,PASSED
waitForPageLoad(TimeOut),Chrome 90.0.4430.212,,,2021-05-22 10:14:23,2021-05-22 10:14:23,0.038s,PASSED
maximizeWindow(),Chrome 90.0.4430.212,,,2021-05-22 10:14:23,2021-05-22 10:14:24,0.129s,PASSED
"click(findTestObject(""W3School/TryItBtn""))",Chrome 90.0.4430.212,,,2021-05-22 10:14:24,2021-05-22 10:14:24,0.148s,PASSED
delay(1),Chrome 90.0.4430.212,,,2021-05-22 10:14:24,2021-05-22 10:14:25,1.002s,PASSED
switchToWindowIndex(1),Chrome 90.0.4430.212,,,2021-05-22 10:14:25,2021-05-22 10:14:25,0.034s,PASSED
"switchToFrame(findTestObject(""W3School/TryItButtonFrame""), TimeOut)",Chrome 90.0.4430.212,,,2021-05-22 10:14:25,2021-05-22 10:14:25,0.122s,PASSED
"click(findTestObject(""W3School/TryButton""))",Chrome 90.0.4430.212,,,2021-05-22 10:14:25,2021-05-22 10:14:25,0.131s,PASSED
acceptAlert(),Chrome 90.0.4430.212,,,2021-05-22 10:14:25,2021-05-22 10:14:25,0.023s,PASSED
switchToDefaultContent(),Chrome 90.0.4430.212,,,2021-05-22 10:14:25,2021-05-22 10:14:25,0.026s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-22 10:14:25,2021-05-22 10:14:25,0.064s,PASSED
"openBrowser(""https://www.w3schools.com/js/js_popup.asp"")",Chrome 90.0.4430.212,,,2021-05-22 10:14:25,2021-05-22 10:14:27,1.783s,PASSED
waitForPageLoad(TimeOut),Chrome 90.0.4430.212,,,2021-05-22 10:14:27,2021-05-22 10:14:27,0.016s,PASSED
maximizeWindow(),Chrome 90.0.4430.212,,,2021-05-22 10:14:27,2021-05-22 10:14:27,0.117s,PASSED
"click(findTestObject(""W3School/TryItBtn""))",Chrome 90.0.4430.212,,,2021-05-22 10:14:27,2021-05-22 10:14:27,0.112s,PASSED
delay(1),Chrome 90.0.4430.212,,,2021-05-22 10:14:27,2021-05-22 10:14:28,1.002s,PASSED
switchToWindowIndex(1),Chrome 90.0.4430.212,,,2021-05-22 10:14:28,2021-05-22 10:14:28,0.026s,PASSED
"switchToFrame(findTestObject(""W3School/TryItButtonFrame""), TimeOut)",Chrome 90.0.4430.212,,,2021-05-22 10:14:28,2021-05-22 10:14:28,0.091s,PASSED
"click(findTestObject(""W3School/TryButton""))",Chrome 90.0.4430.212,,,2021-05-22 10:14:28,2021-05-22 10:14:28,0.149s,PASSED
acceptAlert(),Chrome 90.0.4430.212,,,2021-05-22 10:14:28,2021-05-22 10:14:28,0.029s,PASSED
switchToDefaultContent(),Chrome 90.0.4430.212,,,2021-05-22 10:14:28,2021-05-22 10:14:29,0.033s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-22 10:14:29,2021-05-22 10:14:29,0.067s,PASSED
"openBrowser(""https://www.w3schools.com/js/js_popup.asp"")",Chrome 90.0.4430.212,,,2021-05-22 10:14:29,2021-05-22 10:14:31,2.071s,PASSED
waitForPageLoad(TimeOut),Chrome 90.0.4430.212,,,2021-05-22 10:14:31,2021-05-22 10:14:31,0.019s,PASSED
maximizeWindow(),Chrome 90.0.4430.212,,,2021-05-22 10:14:31,2021-05-22 10:14:31,0.116s,PASSED
"click(findTestObject(""W3School/TryItBtn""))",Chrome 90.0.4430.212,,,2021-05-22 10:14:31,2021-05-22 10:14:31,0.104s,PASSED
delay(1),Chrome 90.0.4430.212,,,2021-05-22 10:14:31,2021-05-22 10:14:32,1.002s,PASSED
switchToWindowIndex(1),Chrome 90.0.4430.212,,,2021-05-22 10:14:32,2021-05-22 10:14:32,0.028s,PASSED
"switchToFrame(findTestObject(""W3School/TryItButtonFrame""), TimeOut)",Chrome 90.0.4430.212,,,2021-05-22 10:14:32,2021-05-22 10:14:32,0.085s,PASSED
"click(findTestObject(""W3School/TryButton""))",Chrome 90.0.4430.212,,,2021-05-22 10:14:32,2021-05-22 10:14:32,0.104s,PASSED
acceptAlert(),Chrome 90.0.4430.212,,,2021-05-22 10:14:32,2021-05-22 10:14:32,0.031s,PASSED
switchToDefaultContent(),Chrome 90.0.4430.212,,,2021-05-22 10:14:32,2021-05-22 10:14:32,0.023s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-22 10:14:32,2021-05-22 10:14:32,0.064s,PASSED
"openBrowser(""https://www.w3schools.com/js/js_popup.asp"")",Chrome 90.0.4430.212,,,2021-05-22 10:14:32,2021-05-22 10:14:34,2.085s,PASSED
waitForPageLoad(TimeOut),Chrome 90.0.4430.212,,,2021-05-22 10:14:34,2021-05-22 10:14:34,0.015s,PASSED
maximizeWindow(),Chrome 90.0.4430.212,,,2021-05-22 10:14:34,2021-05-22 10:14:34,0.116s,PASSED
"click(findTestObject(""W3School/TryItBtn""))",Chrome 90.0.4430.212,,,2021-05-22 10:14:34,2021-05-22 10:14:35,0.104s,PASSED
delay(1),Chrome 90.0.4430.212,,,2021-05-22 10:14:35,2021-05-22 10:14:36,1.002s,PASSED
switchToWindowIndex(1),Chrome 90.0.4430.212,,,2021-05-22 10:14:36,2021-05-22 10:14:36,0.073s,PASSED
"switchToFrame(findTestObject(""W3School/TryItButtonFrame""), TimeOut)",Chrome 90.0.4430.212,,,2021-05-22 10:14:36,2021-05-22 10:14:36,0.086s,PASSED
"click(findTestObject(""W3School/TryButton""))",Chrome 90.0.4430.212,,,2021-05-22 10:14:36,2021-05-22 10:14:36,0.110s,PASSED
acceptAlert(),Chrome 90.0.4430.212,,,2021-05-22 10:14:36,2021-05-22 10:14:36,0.019s,PASSED
switchToDefaultContent(),Chrome 90.0.4430.212,,,2021-05-22 10:14:36,2021-05-22 10:14:36,0.023s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-22 10:14:36,2021-05-22 10:14:36,0.061s,PASSED
,,,,,,,
Test Cases/Alert/TC-HandleAlert,Chrome 90.0.4430.212,,,2021-05-22 10:14:36,2021-05-22 10:14:42,6.458s,PASSED
openBrowser(null),Chrome 90.0.4430.212,,,2021-05-22 10:14:36,2021-05-22 10:14:36,0.346s,PASSED
"navigateToUrl(""https://www.w3schools.com/js/js_popup.asp"")",Chrome 90.0.4430.212,,,2021-05-22 10:14:36,2021-05-22 10:14:38,1.611s,PASSED
obj = new com.kms.katalon.core.testobject.TestObject(test),Chrome 90.0.4430.212,,,2021-05-22 10:14:38,2021-05-22 10:14:38,0.004s,PASSED
"obj.addProperty(""xpath"", EQUALS, ""//table[@id='nav']//tr//td[3]//a"")",Chrome 90.0.4430.212,,,2021-05-22 10:14:38,2021-05-22 10:14:38,0.004s,PASSED
j = 4,Chrome 90.0.4430.212,,,2021-05-22 10:14:38,2021-05-22 10:14:38,0.000s,PASSED
"while (waitForElementPresent(obj, 1))",Chrome 90.0.4430.212,,,2021-05-22 10:14:38,2021-05-22 10:14:40,2.079s,PASSED
waitForPageLoad(TimeOut),Chrome 90.0.4430.212,,,2021-05-22 10:14:40,2021-05-22 10:14:40,0.072s,PASSED
